County Code,District Code,School Code,School Name,Zip Code,Average Days Absent,ChronicAbsenteeismRate,Dropout (Rate),Non-Stability Rate (percent),Suspension Rate (Total),Mean Scale Score,average2021
19,64733.0,1938968.0,Van Nuys Senior High,91411.0,17.794117647058822,12.84,10.883333333333333,13.18125,0.0,2575.9,938286.5
19,64733.0,1939040.0,Venice Senior High,90066.0,13.53125,14.692857142857141,13.39,11.921428571428573,0.0,2591.55,1689230.8333333333
19,64733.0,1939107.0,Verdugo Hills Senior High,91042.0,19.613333333333333,13.26923076923077,4.288888888888889,13.738461538461538,0.0,2544.45,817159.4166666666
19,64733.0,1939305.0,George Washington Preparatory High,90047.0,32.676923076923075,48.67272727272727,18.3375,21.581818181818182,0.0,2435.8,649448.3333333334
19,64733.0,1939479.0,WESM Health/Sports Medicine,90045.0,14.25,15.580000000000002,0.0,9.17,0.0,2512.6,1385908.1666666667
19,64733.0,1939859.0,Woodrow Wilson Senior High,90032.0,21.607142857142858,25.34166666666667,8.485714285714286,12.091666666666667,0.0,2554.1,767071.9166666666
19,64733.0,1939941.0,John F. Kennedy High,91344.0,16.21764705882353,16.8,5.43,11.813333333333334,0.0,2559.5,837709.5833333334
19,64733.0,1995448.0,Francisco Bravo Medical Magnet High,90033.0,11.746666666666666,7.5,5.300000000000001,3.976923076923077,0.0,2649.1,617324.3333333334
19,64733.0,1995794.0,Youth Opportunities Unlimited,90044.0,35.39090909090909,63.13333333333334,45.75555555555556,66.84444444444445,0.0,2446.6499999999996,574630.3333333334
19,64733.0,1995836.0,Palisades Charter High,90272.0,14.01764705882353,11.786666666666667,4.199999999999999,2.9066666666666667,0.0,2612.4,3508810.3333333335
19,64733.0,1996073.0,Tri-C Community Day,90021.0,52.13076923076923,81.7909090909091,14.39,68.69166666666666,0.0,2432.35,753099.1666666666
19,64733.0,1996115.0,City of Angels,90063.0,51.26666666666667,66.64999999999999,32.73076923076923,43.4,0.0,2455.307142857143,614759.3333333334
19,64733.0,1996610.0,Los Angeles Leadership Academy,90031.0,12.853846153846153,12.436363636363637,12.319999999999999,5.318181818181818,0.0,2484.225,777451.5833333334
19,64733.0,6016885.0,Elizabeth Learning Center,90201.0,19.123529411764707,22.853333333333335,10.985714285714286,6.8533333333333335,0.0,2446.335714285714,553898.5833333334
19,64733.0,6019475.0,Thirty-Second Street USC Performing Arts,90007.0,8.8,7.475,0.0,1.30625,0.0,2484.4357142857143,870673.9166666666
19,64733.0,6019715.0,Vaughn Next Century Learning Center,91340.0,8.542105263157895,4.541176470588235,0.0,4.035294117647059,0.0,2471.842857142857,628756.6666666666
19,64733.0,6058002.0,Robert Fulton College Preparatory,91405.0,19.5,22.076470588235296,2.1125,19.129411764705882,0.0,2465.275,743078.0833333334
19,64733.0,6061451.0,Foshay Learning Center,90018.0,11.31,10.416666666666666,0.0,5.922222222222222,0.0,2455.3642857142854,899003.1666666666
